,Agua Clara,Alcinopolis,Amambai,Anastacio,Anaurilandia,Angelica,Antonio Joao,Aparecida do Taboado,Aquidauana,Aral Moreira,Bandeirantes,Bataguassu,Bataypora,Bela Vista,Bodoquena,Bonito,Brasilandia,Caarapo,Camapua,Campo Grande,Caracol,Cassilandia,Chapadao do Sul,Corguinho,Coronel Sapucaia,Corumba,Costa Rica,Coxim,Deodapolis,Dois Irmaos do Buriti,Douradina,Dourados,Eldorado,Fatima do Sul,Figueirao,Gloria de Dourados,Guia Lopes da Laguna,Iguatemi,Inocencia,Itapora,Itaquirai,Ivinhema,Japora,Jaraguari,Jardim,Jatei,Juti,Ladario,Laguna Carapa,Maracaju,Miranda,Mundo Novo,Navirai,Nioaque,Nova Alvorada do Sul,Nova Andradina,Novo Horizonte do Sul,Paraiso das Aguas,Paranaiba,Paranhos,Pedro Gomes,Ponta Pora,Porto Murtinho,Ribas do Rio Pardo,Rio Brilhante,Rio Negro,Rio Verde de Mato Grosso,Rochedo,Santa Rita do Pardo,Sao Gabriel do Oeste,Selviria,Sete Quedas,Sidrolandia,Sonora,Tacuru,Taquarussu,Terenos,Tres Lagoas,Vicentina
Agua Clara,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,166,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,207,inf,inf,inf,inf,inf,119,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,167,inf
Alcinopolis,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,85,146,inf,inf,inf,inf,inf,inf,52,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,121,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Amambai,inf,inf,0,inf,inf,inf,inf,inf,inf,59,inf,inf,inf,inf,inf,inf,inf,87,inf,inf,inf,inf,inf,inf,47,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,82,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,82,inf,inf,inf,inf
Anastacio,inf,inf,inf,0,inf,inf,inf,inf,4,inf,inf,inf,inf,inf,inf,130,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,76,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,84,inf,inf,95,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Anaurilandia,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,79,75,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,84,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Angelica,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,23,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,129,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Antonio Joao,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,78,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,58,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Aparecida do Taboado,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,61,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,59,inf,inf,inf,inf,inf,inf,inf,inf
Aquidauana,inf,inf,inf,4,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,74,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,86,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,183,257,inf,inf,inf,inf,inf,inf,inf,inf,inf,125,inf,inf
Aral Moreira,inf,inf,59,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,50,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,86,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,60,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
